,performer,song_performer,song,track_duration_s,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,rank,last_week,peak_rank,weeks_on_board,key_signature,year,top_hit_pos
1274,Blac Youngsta,Booty | Blac Youngsta,Booty,160.037,0.938,0.549,C#,-8.368,major,0.098,0.000831,0.000243,0.082,0.412,144.005,4.0,93,89.0,73,5,C# major,2018,0.0
1275,Destiny's Child,Bootylicious | Destiny's Child,Bootylicious,207.733,0.835,0.833,C#,-4.364,minor,0.284,0.00247,0.0,0.171,0.586,103.358,4.0,98,90.0,1,19,C# minor,2001,1.0
1276,Rick Springfield,Bop 'til You Drop | Rick Springfield,Bop 'til You Drop,258.653,0.704,0.873,B,-4.738,minor,0.0425,0.133,8.45e-06,0.187,0.621,115.232,4.0,95,82.0,20,15,B minor,1984,0.0
1277,Madonna,Borderline | Madonna,Borderline,238.36,0.807,0.764,D,-5.186,major,0.0312,0.082,3.87e-05,0.115,0.371,119.867,4.0,98,94.0,10,30,D major,1984,0.0
1278,Blink-182,Bored To Death | Blink-182,Bored To Death,235.613,0.502,0.966,C,-3.876,major,0.0946,0.00575,1.56e-06,0.117,0.638,159.948,4.0,92,85.0,85,2,C major,2016,0.0
1279,Sandy Posey,Born A Woman | Sandy Posey,Born A Woman,120.453,0.75,0.456,C,-9.47,major,0.029,0.685,1.03e-06,0.134,0.939,114.501,4.0,31,24.0,12,14,C major,1966,0.0
1280,Sam & Dave,Born Again | Sam & Dave,Born Again,272.16,0.602,0.403,C#,-11.32,major,0.0248,0.823,0.126,0.112,0.392,106.314,4.0,92,93.0,92,3,C# major,1969,0.0
1281,Cheech & Chong,Born In East L.A. | Cheech & Chong,Born In East L.A.,170.995,0.289,0.67,F,-15.131,major,0.0985,0.1,0.0,0.505,0.826,125.493,4.0,97,82.0,48,11,F major,1985,0.0
1282,Patrick Hernandez,Born To Be Alive | Patrick Hernandez,Born To Be Alive,188.133,0.704,0.867,D,-5.808,major,0.0315,0.0846,0.0,0.206,0.809,131.467,4.0,76,41.0,16,19,D major,1979,0.0
1283,The Ronettes Featuring Veronica,Born To Be Together | The Ronettes Featuring Veronica,Born To Be Together,179.346,0.309,0.562,G,-8.014,major,0.033,0.229,0.0749,0.294,0.27,133.706,4.0,54,52.0,52,6,G major,1965,0.0
1284,Wilson Pickett,Born To Be Wild | Wilson Pickett,Born To Be Wild,166.866,0.398,0.709,D#,-13.047,major,0.034,0.193,2.69e-06,0.146,0.919,156.868,4.0,64,65.0,64,4,D# major,1969,0.0
1285,Sara Evans,Born To Fly | Sara Evans,Born To Fly,336.36,0.612,0.663,C#,-9.314,major,0.035,0.00931,0.0152,0.0637,0.558,100.178,4.0,86,81.0,34,20,C# major,2001,0.0
1286,Bruce Springsteen,Born To Run | Bruce Springsteen,Born To Run,269.92,0.27,0.944,E,-4.199,major,0.0975,0.00501,2.05e-05,0.116,0.606,146.347,4.0,58,47.0,23,11,E major,1975,0.0
1287,Poni-Tails,Born Too Late | Poni-Tails,Born Too Late,137.325,0.501,0.516,E,-3.652,major,0.0256,0.511,0.0505,0.086,0.87,84.984,4.0,99,54.0,7,14,E major,1958,0.0
1288,Duane Eddy and the Rebelettes,Boss Guitar | Duane Eddy and the Rebelettes,Boss Guitar,148.307,0.569,0.932,A,-4.149,major,0.153,0.424,0.00198,0.122,0.814,172.249,4.0,58,42.0,28,9,A major,1963,0.0
1289,Kelis Featuring Too $hort,Bossy | Kelis Featuring Too $hort,Bossy,274.946,0.906,0.624,E,-5.556,major,0.179,0.000185,6.21e-06,0.0608,0.775,84.009,4.0,45,35.0,16,20,E major,2006,0.0
1290,Augustana,Boston | Augustana,Boston,245.933,0.404,0.571,C,-5.069,major,0.0303,0.182,2.08e-05,0.129,0.29,147.01,4.0,46,40.0,34,24,C major,2007,0.0
1291,B.o.B Featuring Taylor Swift,Both Of Us | B.o.B Featuring Taylor Swift,Both Of Us,216.12,0.677,0.722,G,-7.088,major,0.0522,0.0213,0.0,0.207,0.0483,125.091,4.0,83,81.0,18,19,G major,2012,0.0
1292,Judy Collins,Both Sides Now | Judy Collins,Both Sides Now,195.84,0.352,0.3,G#,-9.282,major,0.0301,0.413,0.0,0.1,0.295,58.686,4.0,33,22.0,8,11,G# major,1969,0.0
1293,Phil Collins,Both Sides Of The Story | Phil Collins,Both Sides Of The Story,403.92,0.524,0.706,G#,-6.91,major,0.0427,0.0383,0.000111,0.0737,0.425,127.645,4.0,97,83.0,25,17,G# major,1994,0.0
1294,Stone Sour,Bother | Stone Sour,Bother,240.4,0.272,0.281,C#,-7.634,major,0.0287,0.388,2.29e-05,0.158,0.141,89.914,4.0,98,92.0,56,20,C# major,2003,0.0
1295,Gucci Mane Featuring Drake,Both | Gucci Mane Featuring Drake,Both,190.311,0.85,0.405,G,-7.509,minor,0.225,0.119,0.000118,0.0707,0.344,139.976,4.0,44,43.0,41,22,G minor,2017,0.0
1296,The Fireballs,Bottle Of Wine | The Fireballs,Bottle Of Wine,130.226,0.65,0.8,A,-8.202,major,0.0321,0.00849,0.155,0.0678,0.956,136.2,4.0,29,28.0,9,14,A major,1968,0.0
1297,Trey Songz Featuring Nicki Minaj,Bottoms Up | Trey Songz Featuring Nicki Minaj,Bottoms Up,242.013,0.845,0.601,C#,-5.283,major,0.161,0.0205,0.0,0.385,0.329,74.008,4.0,39,32.0,6,26,C# major,2011,0.0
