,performer,song_performer,song,track_duration_s,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,rank,last_week,peak_rank,weeks_on_board,key_signature,year,top_hit_pos
0,Andy Williams,......And Roses And Roses | Andy Williams,......And Roses And Roses,166.106,0.154,0.185,F,-14.063,major,0.0315,0.911,0.000267,0.112,0.15,83.969,4.0,43,36.0,36,7,F major,1965,0.0
1,Britney Spears,...Baby One More Time | Britney Spears,...Baby One More Time,211.066,0.759,0.699,C,-5.745,minor,0.0307,0.202,0.000131,0.443,0.907,92.96,4.0,49,46.0,1,32,C minor,1999,1.0
2,Paul Davis,'65 Love Affair | Paul Davis,'65 Love Affair,219.813,0.647,0.686,D,-4.247,minor,0.0274,0.432,6.19e-06,0.133,0.952,155.697,4.0,100,95.0,6,20,D minor,1982,0.0
3,Tammy Wynette,'til I Can Make It On My Own | Tammy Wynette,'til I Can Make It On My Own,182.08,0.45,0.294,G,-12.022,major,0.0318,0.832,3.53e-05,0.108,0.146,141.148,4.0,84,84.0,84,5,G major,1976,0.0
4,Luther Vandross,'Til My Baby Comes Home | Luther Vandross,'Til My Baby Comes Home,332.226,0.804,0.714,B,-6.714,minor,0.183,0.0567,6.21e-06,0.0253,0.802,139.663,4.0,99,84.0,29,16,B minor,1985,0.0
5,The Angels,'Til | The Angels,'Til,148.44,0.253,0.232,C,-12.695,major,0.0318,0.805,0.00018,0.0939,0.307,173.819,3.0,60,38.0,14,14,C major,1962,0.0
6,Young And Restless,"""B"" Girls | Young And Restless","""B"" Girls",242.106,0.615,0.497,G,-11.913,major,0.439,0.016,0.0,0.312,0.769,193.762,3.0,91,83.0,54,15,G major,1990,0.0
7,The Everly Brothers,('til) I Kissed You | The Everly Brothers,('til) I Kissed You,146.066,0.518,0.432,A#,-11.689,minor,0.0459,0.401,0.0,0.299,0.701,139.567,4.0,80,45.0,4,16,A# minor,1959,0.0
8,Paul Anka,(All of a Sudden) My Heart Sings | Paul Anka,(All of a Sudden) My Heart Sings,184.2,0.307,0.267,E,-11.898,major,0.0327,0.809,0.0,0.269,0.39,111.322,3.0,74,65.0,15,17,E major,1959,0.0
9,The Olympics,(Baby) Hully Gully | The Olympics,(Baby) Hully Gully,127.829,0.744,0.47,G,-10.295,major,0.035,0.659,0.0,0.256,0.908,116.233,4.0,98,86.0,72,6,G major,1960,0.0
10,'Til Tuesday,(Believed You Were) Lucky | 'Til Tuesday,(Believed You Were) Lucky,216.973,0.612,0.523,F,-11.425,major,0.0321,0.448,1.59e-06,0.0727,0.495,124.315,4.0,95,95.0,95,3,F major,1989,0.0
11,Bobby Moore,(Call Me Your) Anything Man | Bobby Moore,(Call Me Your) Anything Man,374.491,0.624,0.604,D#,-12.401,minor,0.0459,0.0474,0.00159,0.263,0.76,91.554,4.0,99,99.0,99,2,D# minor,1975,0.0
12,Jermaine Jackson,(Closest Thing To) Perfect | Jermaine Jackson,(Closest Thing To) Perfect,230.693,0.661,0.763,F#,-12.204,minor,0.0326,0.0205,0.000307,0.382,0.905,149.974,4.0,95,81.0,67,7,F# minor,1985,0.0
13,Chubby Checker,(Dance The) Mess Around | Chubby Checker,(Dance The) Mess Around,141.666,0.544,0.725,C#,-7.054,minor,0.0759,0.0605,0.0,0.112,0.746,141.831,4.0,66,46.0,24,7,C# minor,1961,0.0
14,Blue Oyster Cult,(Don't Fear) The Reaper | Blue Oyster Cult,(Don't Fear) The Reaper,308.12,0.333,0.927,A,-8.55,minor,0.0733,0.0029,0.000211,0.297,0.382,141.47,4.0,81,31.0,12,20,A minor,1976,0.0
15,Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go | Curtis Mayfield,(Don't Worry) If There's A Hell Below We're All Going To Go,470.506,0.686,0.755,C#,-8.304,minor,0.0488,0.149,0.063,0.111,0.686,119.895,4.0,53,53.0,29,12,C# minor,1971,0.0
16,Dr. John,(everybody Wanna Get Rich) Rite Away | Dr. John,(everybody Wanna Get Rich) Rite Away,163.933,0.746,0.916,A,-10.061,major,0.0772,0.518,0.0686,0.0785,0.971,99.926,4.0,96,92.0,92,4,A major,1974,0.0
17,The Chi-lites,(For God's Sake) Give More Power To The People | The Chi-lites,(For God's Sake) Give More Power To The People,180.133,0.665,0.552,F#,-10.177,major,0.0307,0.493,0.0272,0.421,0.899,96.889,4.0,43,38.0,26,11,F# major,1971,0.0
18,Outlaws,(Ghost) Riders In The Sky | Outlaws,(Ghost) Riders In The Sky,351.4,0.228,0.896,A,-7.241,minor,0.13,0.0132,0.0273,0.795,0.146,128.433,4.0,99,94.0,31,15,A minor,1981,0.0
19,Ramrods,(Ghost) Riders In The Sky | Ramrods,(Ghost) Riders In The Sky,156.933,0.442,0.717,A,-9.943,minor,0.0395,0.518,0.262,0.184,0.376,120.914,4.0,62,48.0,30,9,A minor,1961,0.0
20,Eddie Hodges,"(Girls, Girls, Girls) Made To Love | Eddie Hodges","(Girls, Girls, Girls) Made To Love",150.666,0.61,0.377,A,-9.805,major,0.0935,0.414,0.0,0.0734,0.519,178.06,4.0,54,28.0,14,11,A major,1962,0.0
21,The Fleetwoods,(He's) The Great Impostor | The Fleetwoods,(He's) The Great Impostor,132.101,0.499,0.249,F,-11.793,major,0.0422,0.733,0.0,0.105,0.539,117.163,4.0,57,35.0,30,8,F major,1961,0.0
22,Jackie Wilson,(I Can Feel Those Vibrations) This Love Is Real | Jackie Wilson,(I Can Feel Those Vibrations) This Love Is Real,175.146,0.63,0.8,D,-6.002,major,0.15,0.429,0.0,0.3,0.736,120.811,4.0,70,61.0,56,11,D major,1971,0.0
23,Skeeter Davis,(I Can't Help You) I'm Falling Too | Skeeter Davis,(I Can't Help You) I'm Falling Too,165.266,0.617,0.197,A,-12.145,major,0.0267,0.777,0.0,0.133,0.384,91.209,4.0,80,51.0,39,7,A major,1960,0.0
24,"Harry Connick, Jr.","(I Could Only) Whisper Your Name | Harry Connick, Jr.",(I Could Only) Whisper Your Name,289.97,0.682,0.572,F,-7.067,minor,0.045,0.191,0.204,0.0504,0.844,89.083,4.0,96,91.0,67,20,F minor,1995,0.0
25,Barbara Lynn,(I Cried at) Laura's Wedding | Barbara Lynn,(I Cried at) Laura's Wedding,158.213,0.579,0.299,G,-8.729,major,0.0304,0.84,4.71e-05,0.117,0.194,89.463,3.0,79,68.0,68,8,G major,1963,0.0
26,Bobby Freeman,(I Do The) Shimmy Shimmy | Bobby Freeman,(I Do The) Shimmy Shimmy,157.466,0.508,0.857,D,-5.498,major,0.04,0.74,0.0,0.365,0.891,88.579,4.0,83,56.0,37,13,D major,1960,0.0
27,Three Days Grace,(I Hate) Everything About You | Three Days Grace,(I Hate) Everything About You,231.48,0.498,0.83,F#,-5.157,minor,0.0421,0.00461,0.0,0.139,0.453,89.342,4.0,66,69.0,55,20,F# minor,2004,0.0
28,Shaquille O'Neal,(I Know I Got) Skillz | Shaquille O'Neal,(I Know I Got) Skillz,263.053,0.801,0.875,G,-9.705,major,0.0995,0.00366,0.425,0.182,0.637,91.983,4.0,98,84.0,35,20,G major,1994,0.0
29,Martina McBride,(I Never Promised You A) Rose Garden | Martina McBride,(I Never Promised You A) Rose Garden,195.573,0.577,0.728,D,-6.944,major,0.0478,0.503,0.0,0.133,0.78,131.908,4.0,100,98.0,98,2,D major,2005,0.0
30,Vanity Fare,(I Remember) Summer Morning | Vanity Fare,(I Remember) Summer Morning,178.418,0.528,0.341,E,-12.768,minor,0.03,0.922,0.0,0.135,0.337,111.336,4.0,98,98.0,98,2,E minor,1970,0.0
31,The Olympics,(I Wanna) Dance With The Teacher | The Olympics,(I Wanna) Dance With The Teacher,107.317,0.567,0.458,E,-15.353,major,0.0623,0.428,0.0412,0.356,0.829,85.189,4.0,91,71.0,71,5,E major,1959,0.0
32,Gene Pitney,(I Wanna) Love My Life Away | Gene Pitney,(I Wanna) Love My Life Away,114.906,0.548,0.694,C,-9.356,major,0.0359,0.811,5.38e-05,0.596,0.924,136.36,4.0,86,53.0,39,8,C major,1961,0.0
33,The Parliaments,(I Wanna) Testify | The Parliaments,(I Wanna) Testify,183.693,0.668,0.702,A#,-5.75,major,0.033,0.336,0.0,0.0521,0.754,105.227,4.0,55,22.0,20,13,A# major,1967,0.0
34,Tab Hunter,(I'll Be With You In) Apple Blossom Time | Tab Hunter,(I'll Be With You In) Apple Blossom Time,130.759,0.585,0.45,G#,-9.468,major,0.0357,0.856,4.92e-06,0.0777,0.627,130.16,4.0,66,58.0,31,11,G# major,1959,0.0
35,Gene Chandler,(I'm Just A) Fool For You | Gene Chandler,(I'm Just A) Fool For You,160.853,0.564,0.623,D,-9.553,major,0.0319,0.288,1.31e-05,0.0947,0.911,110.613,4.0,88,94.0,88,2,D major,1966,0.0
36,The Monkees,(I'm Not Your) Steppin' Stone | The Monkees,(I'm Not Your) Steppin' Stone,146.533,0.537,0.677,F,-4.437,major,0.0301,0.0151,0.000199,0.0981,0.324,131.477,4.0,40,28.0,20,8,F major,1967,0.0
37,Charley Pride,(I'm So) Afraid Of Losing You Again | Charley Pride,(I'm So) Afraid Of Losing You Again,173.32,0.525,0.354,E,-12.332,major,0.0344,0.466,3.86e-05,0.246,0.495,109.498,4.0,86,74.0,74,6,E major,1969,0.0
38,Chicago,(i've Been) Searchin' So Long | Chicago,(i've Been) Searchin' So Long,268.426,0.194,0.591,C,-6.181,major,0.0318,0.118,6.43e-05,0.2,0.164,171.066,4.0,38,26.0,9,15,C major,1974,0.0
39,Little Willie John,(I've Got) Spring Fever | Little Willie John,(I've Got) Spring Fever,131.533,0.699,0.373,C,-12.653,major,0.0813,0.801,0.518,0.0764,0.73,134.923,4.0,93,71.0,71,5,C major,1961,0.0
40,Bill Medley & Jennifer Warnes,(I've Had) The Time Of My Life | Bill Medley & Jennifer Warnes,(I've Had) The Time Of My Life,289.066,0.7,0.781,F#,-8.255,minor,0.0507,0.0874,0.00342,0.059,0.385,108.695,4.0,91,77.0,1,21,F# minor,1988,1.0
41,Luther Ingram,(If Loving You Is Wrong) I Don't Want To Be Right | Luther Ingram,(If Loving You Is Wrong) I Don't Want To Be Right,216.8,0.502,0.451,E,-7.423,minor,0.0438,0.283,0.0,0.154,0.531,140.474,4.0,32,24.0,3,16,E minor,1972,0.0
42,Celine Dion,(If There Was) Any Other Way | Celine Dion,(If There Was) Any Other Way,240.093,0.671,0.784,G,-8.672,minor,0.0322,0.239,3.6e-06,0.139,0.904,124.013,4.0,82,57.0,35,12,G minor,1991,0.0
43,Mac Davis,(if You Add) All The Love In The World | Mac Davis,(if You Add) All The Love In The World,213.106,0.371,0.433,A#,-10.908,major,0.0343,0.66,1.33e-05,0.103,0.359,159.27,4.0,54,54.0,54,4,A# major,1975,0.0
44,The Drifters,"(If You Cry) True Love, True Love | The Drifters","(If You Cry) True Love, True Love",141.426,0.511,0.236,C,-14.496,major,0.043,0.67,0.0,0.0953,0.196,141.222,4.0,68,55.0,33,11,C major,1960,0.0
45,Ronnie Dyson,(If You Let Me Make Love To You Then) Why Can't I Touch You? | Ronnie Dyson,(If You Let Me Make Love To You Then) Why Can't I Touch You?,203.746,0.398,0.692,C,-8.596,major,0.045,0.496,0.0,0.394,0.65,93.907,4.0,24,23.0,8,14,C major,1970,0.0
46,Chuck Jackson,(It Never Happens) In Real Life | Chuck Jackson,(It Never Happens) In Real Life,165.44,0.696,0.459,D#,-8.464,major,0.0303,0.691,0.0331,0.138,0.849,119.069,4.0,47,46.0,46,7,D# major,1961,0.0
47,The Duprees featuring Joey Vann,(It's No) Sin | The Duprees featuring Joey Vann,(It's No) Sin,162.533,0.353,0.377,G,-9.358,major,0.0294,0.859,7.52e-05,0.068,0.492,107.691,3.0,84,88.0,74,5,G major,1964,0.0
48,Steven Tyler,(It) Feels So Good | Steven Tyler,(It) Feels So Good,211.293,0.738,0.952,F#,-3.386,minor,0.0515,0.0631,0.0,0.216,0.899,122.0,4.0,100,91.0,35,4,F# minor,2011,0.0
49,The Reflections,(Just Like) Romeo & Juliet | The Reflections,(Just Like) Romeo & Juliet,127.893,0.773,0.863,D#,-9.321,major,0.0356,0.205,0.586,0.188,0.976,145.384,4.0,36,23.0,6,12,D# major,1964,0.0
50,Sha Na Na,(Just Like) Romeo And Juliet | Sha Na Na,(Just Like) Romeo And Juliet,136.24,0.749,0.738,D#,-11.538,major,0.0388,0.168,4.6e-06,0.113,0.979,141.185,4.0,64,63.0,55,10,D# major,1975,0.0
51,Gloriana,(Kissed You) Good Night | Gloriana,(Kissed You) Good Night,232.903,0.523,0.747,B,-6.125,major,0.0292,0.0807,0.0,0.11,0.294,118.97,4.0,46,39.0,34,20,B major,2012,0.0
52,The 5th Dimension,(Last Night) I Didn't Get To Sleep At All | The 5th Dimension,(Last Night) I Didn't Get To Sleep At All,192.6,0.663,0.58,F,-10.144,minor,0.0269,0.453,0.00124,0.0963,0.551,105.229,4.0,33,23.0,8,16,F minor,1972,0.0
53,The Intruders,(Love Is Like A) Baseball Game | The Intruders,(Love Is Like A) Baseball Game,165.92,0.654,0.539,C,-7.825,major,0.0274,0.748,0.0,0.168,0.849,88.978,4.0,38,26.0,26,9,C major,1968,0.0
54,The Fantastics,(Love Me) Love The Life I Lead | The Fantastics,(Love Me) Love The Life I Lead,186.521,0.356,0.549,A,-12.198,major,0.0574,0.35,0.0,0.0583,0.784,78.331,4.0,86,87.0,86,4,A major,1972,0.0
55,Elvis Presley,(Marie's The Name) His Latest Flame | Elvis Presley,(Marie's The Name) His Latest Flame,127.093,0.661,0.917,E,-6.329,minor,0.0375,0.568,0.00202,0.134,0.893,105.289,4.0,57,55.0,4,11,E minor,1961,0.0
56,Van Halen,(oh) Pretty Woman | Van Halen,(oh) Pretty Woman,172.67,0.441,0.97,C#,-2.1,minor,0.0708,0.192,1.68e-06,0.312,0.5,128.289,4.0,97,76.0,12,16,C# minor,1982,0.0
57,Dean Martin,(Open Up The Door) Let The Good Times In | Dean Martin,(Open Up The Door) Let The Good Times In,198.6,0.443,0.618,C#,-12.153,major,0.0846,0.77,2.88e-06,0.47,0.636,78.936,4.0,55,55.0,55,6,C# major,1967,0.0
58,Dean Martin,(Remember Me) I'm The One Who Loves You | Dean Martin,(Remember Me) I'm The One Who Loves You,145.32,0.475,0.507,C#,-13.103,major,0.0372,0.646,1.03e-05,0.24,0.59,113.364,4.0,63,36.0,32,7,C# major,1965,0.0
59,Cat Stevens,(Remember The Days Of The) Old Schoolyard | Cat Stevens,(Remember The Days Of The) Old Schoolyard,164.826,0.648,0.581,A#,-8.684,major,0.0495,0.485,0.0,0.565,0.61,146.185,4.0,65,65.0,33,10,A# major,1977,0.0
60,Roy Orbison,(Say) You're My Girl | Roy Orbison,(Say) You're My Girl,165.426,0.424,0.657,C,-5.801,major,0.0289,0.727,0.000162,0.153,0.85,155.56,4.0,54,39.0,39,7,C major,1965,0.0
61,KC And The Sunshine Band,"(Shake, Shake, Shake) Shake Your Booty | KC And The Sunshine Band","(Shake, Shake, Shake) Shake Your Booty",186.906,0.649,0.825,A#,-12.243,minor,0.0335,0.00606,0.154,0.104,0.961,112.124,4.0,95,44.0,1,21,A# minor,1976,1.0
62,All-4-One,(She's Got) Skillz | All-4-One,(She's Got) Skillz,245.066,0.942,0.595,G#,-9.781,minor,0.0458,0.152,0.000142,0.0861,0.958,100.41,4.0,71,70.0,57,20,G# minor,1995,0.0
63,King Curtis & The Kingpins,(Sittin' On) The Dock Of The Bay | King Curtis & The Kingpins,(Sittin' On) The Dock Of The Bay,161.573,0.729,0.125,D,-21.263,major,0.0318,0.266,0.662,0.101,0.65,104.93,4.0,84,85.0,84,5,D major,1968,0.0
64,Michael Bolton,(Sittin' On) The Dock Of The Bay | Michael Bolton,(Sittin' On) The Dock Of The Bay,231.24,0.464,0.525,D,-13.806,major,0.0566,0.192,7.23e-06,0.268,0.565,178.352,4.0,100,78.0,11,17,D major,1988,0.0
65,Otis Redding,(Sittin' On) The Dock Of The Bay | Otis Redding,(Sittin' On) The Dock Of The Bay,163.755,0.769,0.367,D,-11.226,major,0.0312,0.684,1.62e-05,0.081,0.535,103.621,4.0,35,19.0,1,16,D major,1968,1.0
66,The Reddings,(Sittin' On) The Dock Of The Bay | The Reddings,(Sittin' On) The Dock Of The Bay,163.0,0.724,0.585,G,-6.739,major,0.03,0.0582,0.00285,0.104,0.471,104.761,4.0,99,91.0,55,9,G major,1982,0.0
67,Aretha Franklin,(Sweet Sweet Baby) Since You've Been Gone | Aretha Franklin,(Sweet Sweet Baby) Since You've Been Gone,145.264,0.708,0.67,D#,-8.142,major,0.029,0.471,0.0314,0.0631,0.94,117.149,4.0,35,25.0,5,12,D# major,1968,0.0
68,The Newbeats,(The Bees Are For The Birds) The Birds Are For The Bees | The Newbeats,(The Bees Are For The Birds) The Birds Are For The Bees,133.706,0.483,0.478,F#,-13.621,major,0.0789,0.749,0.0,0.258,0.913,170.401,4.0,58,50.0,50,7,F# major,1965,0.0
69,The Ronettes,(The Best Part Of) Breakin' Up | The Ronettes,(The Best Part Of) Breakin' Up,184.346,0.49,0.729,D,-9.046,major,0.0481,0.403,0.00259,0.124,0.546,105.273,4.0,44,39.0,39,8,D major,1964,0.0
70,Don Fardon,(The Lament Of The Cherokee) Indian Reservation | Don Fardon,(The Lament Of The Cherokee) Indian Reservation,201.2,0.805,0.473,A#,-12.999,major,0.0507,0.24,0.00516,0.177,0.519,124.618,4.0,39,25.0,20,9,A# major,1968,0.0
71,Bee Gees,(The Lights Went Out In) Massachusetts | Bee Gees,(The Lights Went Out In) Massachusetts,176.32,0.404,0.498,D,-8.227,major,0.0278,0.149,0.00068,0.551,0.381,104.05,4.0,27,20.0,11,8,D major,1967,0.0
72,Gene Pitney,(The Man Who Shot) Liberty Valance | Gene Pitney,(The Man Who Shot) Liberty Valance,178.44,0.602,0.591,C#,-8.684,minor,0.053,0.739,0.0,0.175,0.837,88.395,4.0,58,42.0,4,13,C# minor,1962,0.0
73,Lawrence Welk And His Orchestra,(Theme from) My Three Sons | Lawrence Welk And His Orchestra,(Theme from) My Three Sons,122.6,0.365,0.796,C,-5.441,major,0.0352,0.304,0.936,0.0562,0.954,80.468,4.0,67,57.0,55,7,C major,1961,0.0
74,Dionne Warwick,(Theme From) Valley Of The Dolls | Dionne Warwick,(Theme From) Valley Of The Dolls,218.84,0.23,0.273,F,-13.277,major,0.0352,0.871,2.21e-06,0.059,0.0868,74.919,4.0,22,17.0,2,13,F major,1968,0.0
75,Dorsey Burnette,(There Was A) Tall Oak Tree | Dorsey Burnette,(There Was A) Tall Oak Tree,125.946,0.602,0.411,G,-10.841,major,0.0558,0.463,0.0,0.235,0.719,134.25,4.0,84,70.0,23,15,G major,1960,0.0
76,Perry Como,(There's No Place Like) Home For The Holidays | Perry Como,(There's No Place Like) Home For The Holidays,171.333,0.69,0.189,C,-12.797,major,0.0316,0.897,0.0,0.133,0.735,78.042,4.0,22,43.0,22,7,C major,2021,0.0
77,Dionne Warwick,(There's) Always Something There To Remind Me | Dionne Warwick,(There's) Always Something There To Remind Me,179.506,0.68,0.328,F,-13.69,major,0.0673,0.737,0.0,0.581,0.821,84.04,4.0,67,65.0,65,5,F major,1968,0.0
78,Lou Johnson,(There's) Always Something There To Remind Me | Lou Johnson,(There's) Always Something There To Remind Me,193.973,0.574,0.469,A#,-8.163,major,0.0621,0.472,0.0,0.0742,0.746,77.801,4.0,49,51.0,49,7,A# major,1964,0.0
79,Darlene Love,(Today I Met) The Boy I'm Gonna Marry | Darlene Love,(Today I Met) The Boy I'm Gonna Marry,166.053,0.353,0.703,C#,-5.847,minor,0.0583,0.54,0.0641,0.91,0.608,100.076,4.0,50,44.0,39,8,C# minor,1963,0.0
80,The Intruders,(We'll Be) United | The Intruders,(We'll Be) United,171.133,0.463,0.493,C,-7.63,major,0.0249,0.363,0.0,0.567,0.365,90.609,4.0,78,82.0,78,6,C major,1966,0.0
81,Pat Boone,(Welcome) New Lovers | Pat Boone,(Welcome) New Lovers,135.735,0.582,0.438,G#,-16.499,major,0.0388,0.927,0.762,0.511,0.837,119.192,4.0,53,52.0,18,12,G# major,1960,0.0
82,Ral Donner,(What A Sad Way) To Love Someone | Ral Donner,(What A Sad Way) To Love Someone,179.957,0.61,0.232,D#,-17.007,major,0.0287,0.86,7.21e-05,0.106,0.539,79.108,4.0,79,74.0,74,7,D# major,1962,0.0
83,Naked Eyes,(what) In The Name Of Love | Naked Eyes,(what) In The Name Of Love,267.066,0.705,0.751,E,-12.224,minor,0.0385,0.0646,0.000172,0.0881,0.833,113.482,4.0,97,81.0,39,12,E minor,1984,0.0
84,Andy Williams,(Where Do I Begin) Love Story | Andy Williams,(Where Do I Begin) Love Story,189.066,0.259,0.473,F#,-10.187,major,0.0324,0.512,1.5e-06,0.4,0.232,84.897,4.0,24,20.0,9,13,F# major,1971,0.0
85,The Kinks,(Wish I Could Fly Like) Superman | The Kinks,(Wish I Could Fly Like) Superman,214.733,0.772,0.669,C#,-11.239,minor,0.0444,0.0373,2.05e-05,0.0854,0.96,123.39,4.0,96,99.0,41,12,C# minor,1979,0.0
86,Britney Spears,(You Drive Me) Crazy | Britney Spears,(You Drive Me) Crazy,198.066,0.748,0.939,C,-4.288,minor,0.0341,0.0534,0.0,0.32,0.96,104.001,4.0,99,87.0,10,20,C minor,2000,0.0
87,Joe Simon,(You Keep Me) Hangin' On | Joe Simon,(You Keep Me) Hangin' On,164.826,0.59,0.374,G,-13.498,major,0.0248,0.389,0.0,0.0757,0.639,96.753,4.0,35,25.0,25,15,G major,1968,0.0
88,The McCoys,(You Make Me Feel) So Good | The McCoys,(You Make Me Feel) So Good,161.56,0.798,0.647,E,-10.997,major,0.0459,0.0366,0.051,0.168,0.854,111.872,4.0,56,53.0,53,4,E major,1966,0.0
89,Jackie Wilson,(You Were Made For) All My Love | Jackie Wilson,(You Were Made For) All My Love,125.866,0.321,0.468,D,-4.934,major,0.0317,0.898,8.29e-06,0.113,0.411,76.99,4.0,52,36.0,12,13,D major,1960,0.0
90,Frankie Valli,(You're Gonna) Hurt Yourself | Frankie Valli,(You're Gonna) Hurt Yourself,152.293,0.669,0.581,A#,-6.929,major,0.0616,0.511,0.0,0.222,0.659,135.774,4.0,53,46.0,39,7,A# major,1966,0.0
91,Mitch Ryder,(You've Got) Personality And Chantilly Lace | Mitch Ryder,(You've Got) Personality And Chantilly Lace,223.133,0.529,0.88,F,-8.782,major,0.0823,0.0883,0.000394,0.342,0.784,133.742,4.0,87,87.0,87,4,F major,1968,0.0
92,Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher | Jackie Wilson,(Your Love Keeps Lifting Me) Higher And Higher,181.066,0.631,0.69,D,-6.676,major,0.0531,0.176,0.0,0.121,0.938,94.574,4.0,30,15.0,6,12,D major,1967,0.0
93,Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,***Flawless | Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie,***Flawless,234.413,0.639,0.659,G#,-7.273,major,0.215,0.241,8.33e-06,0.484,0.457,136.801,4.0,97,100.0,41,20,G# major,2015,0.0
94,Goody Goody,#1 Dee Jay | Goody Goody,#1 Dee Jay,206.106,0.859,0.376,G,-16.542,minor,0.0439,0.0536,0.0963,0.0605,0.902,127.202,4.0,99,99.0,82,5,G minor,1978,0.0
95,Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money | Lil Dicky Featuring Fetty Wap & Rich Homie Quan,$ave Dat Money,290.835,0.858,0.697,D,-5.361,major,0.23,0.114,0.0,0.224,0.364,98.012,4.0,89,95.0,71,19,D major,2016,0.0
96,Amerie,1 Thing | Amerie,1 Thing,238.76,0.612,0.961,A#,-3.078,minor,0.333,0.107,4.17e-05,0.0413,0.867,129.873,5.0,64,61.0,8,20,A# minor,2005,0.0
97,Ciara Featuring Missy Elliott,"1, 2 Step | Ciara Featuring Missy Elliott","1, 2 Step",203.786,0.944,0.511,F,-10.96,minor,0.161,0.042,0.00107,0.0379,0.842,113.046,4.0,50,44.0,2,39,F minor,2005,0.0
98,Coolio,"1, 2, 3, 4 (Sumpin' New) | Coolio","1, 2, 3, 4 (Sumpin' New)",214.306,0.91,0.681,C#,-9.639,minor,0.153,0.288,0.00477,0.372,0.7,115.186,4.0,50,50.0,5,21,C# minor,1996,0.0
99,Beyonce,1+1 | Beyonce,1+1,273.88,0.303,0.384,F#,-7.342,major,0.0339,0.381,5.14e-06,0.0661,0.261,63.345,5.0,89,57.0,57,2,F# major,2011,0.0
100,Johnny Bond,10 Little Bottles | Johnny Bond,10 Little Bottles,245.506,0.451,0.467,G,-8.304,major,0.212,0.898,0.0,0.971,0.582,91.331,4.0,65,43.0,43,8,G major,1965,0.0
101,Five For Fighting,100 Years | Five For Fighting,100 Years,244.6,0.643,0.569,G,-7.459,major,0.0276,0.544,2.17e-05,0.178,0.275,120.507,4.0,49,47.0,28,22,G major,2004,0.0
102,Nancy Sinatra,100 Years | Nancy Sinatra,100 Years,151.51,0.383,0.478,C,-10.247,major,0.0287,0.54,1.81e-05,0.123,0.341,98.463,3.0,69,69.0,69,6,C major,1968,0.0
103,The Crests,16 Candles | The Crests,16 Candles,172.46,0.591,0.472,A#,-4.906,major,0.0261,0.733,0.0,0.0987,0.627,114.097,3.0,64,51.0,2,21,A# major,1959,0.0
104,Skid Row,18 And Life | Skid Row,18 And Life,229.96,0.466,0.648,C#,-11.101,minor,0.028,0.0023,1.49e-05,0.112,0.305,90.435,4.0,100,74.0,4,20,C# minor,1989,0.0
105,Dan + Shay,19 You + Me | Dan + Shay,19 You + Me,217.406,0.493,0.67,F#,-5.131,major,0.0298,0.319,0.0,0.102,0.451,151.989,3.0,91,68.0,42,18,F# major,2014,0.0
106,Bone Thugs-N-Harmony,1st Of Tha Month | Bone Thugs-N-Harmony,1st Of Tha Month,314.68,0.729,0.581,F,-8.235,minor,0.18,0.0777,3.81e-06,0.696,0.508,74.038,4.0,97,96.0,14,20,F minor,1996,0.0
107,Yung Joc Featuring Marques Houston & Trey Songz,1st Time | Yung Joc Featuring Marques Houston & Trey Songz,1st Time,267.626,0.686,0.603,F#,-6.112,major,0.202,0.0981,0.0,0.102,0.778,133.034,4.0,96,87.0,82,6,F# major,2007,0.0
108,Tinashe Featuring ScHoolboy Q,2 On | Tinashe Featuring ScHoolboy Q,2 On,227.0,0.742,0.595,A,-7.51,major,0.107,0.15,0.0,0.111,0.431,101.013,4.0,43,36.0,24,24,A major,2014,0.0
109,Kevin Gates,2 Phones | Kevin Gates,2 Phones,240.0,0.895,0.681,G,-5.267,minor,0.358,0.157,0.0,0.189,0.554,121.918,4.0,45,42.0,17,25,G minor,2016,0.0
110,Trey Songz Featuring T.I.,2 Reasons | Trey Songz Featuring T.I.,2 Reasons,197.626,0.734,0.746,B,-5.088,major,0.0762,0.00135,0.0,0.178,0.539,94.033,4.0,62,56.0,43,20,B major,2012,0.0
111,Unk,2 Step | Unk,2 Step,322.933,0.721,0.72,A,-6.145,minor,0.192,0.0564,0.0,0.173,0.643,76.976,4.0,41,32.0,24,21,A minor,2007,0.0
112,Green Day,21 Guns | Green Day,21 Guns,321.093,0.268,0.742,F,-4.939,major,0.0355,0.0518,0.0,0.626,0.416,159.779,4.0,60,58.0,22,20,F major,2009,0.0
113,YNW Melly & 9lokknine,223's | YNW Melly & 9lokknine,223's,176.64,0.932,0.547,C,-7.787,minor,0.333,0.0388,0.0,0.0924,0.695,94.998,4.0,98,85.0,34,19,C minor,2020,0.0
114,TeeFLii Featuring 2 Chainz,24 Hours | TeeFLii Featuring 2 Chainz,24 Hours,215.986,0.833,0.638,C#,-9.119,major,0.0441,0.0392,4.83e-06,0.173,0.399,100.01,4.0,96,90.0,85,7,C# major,2014,0.0
